Player Name,Team,Assists,Blocks Against,Defensive Rebounds,Free Throws,Field Goals,Minutes Played,Offensive Rebounds,Plus Minus,Personal Fouls,Points Scored,Steals,Three Pointers,Total Rebounds,Turnovers
Greg Monroe,Detroit,2,4,7,10-24,1-1,39:00,6,3,+7,21,2,0-0,13,2
Kyle Singler,Detroit,3,1-6,0-0,33:54,1,-4,2,2,0-3,4,1
Andre Drummond,Detroit,2,12,7-9,5-11,31:01,5,5,+1,19,2,0-0,17,2
Rodney Stuckey,Detroit,4,3,8-17,12-14,39:04,1,2,+13,29,1,1-3,4,8
Brandon Jennings,Detroit,6,1,3-10,0-0,33:33,1,2,+9,7,1-4,2,1
Jonas Jerebko,Detroit,1,8,2-4,3-4,25:31,2,+4,8,2,1-2,8,1
Kentavious Caldwell-Pope,Detroit,1,1,1,3-10,0-0,23:02,2,3,+5,6,3,0-1,3
Peyton Siva,Detroit,2,2,3-6,1-2,14:55,3,10,1,3-4,2
Paul Millsap,Atlanta,4,1,1,6,10-19,4-8,36:31,6,5,+6,24,2,0-2,12,2
DeMarre Carroll,Atlanta,3,1,1,5,2-10,4-4,35:09,4,4,-5,8,1,0-5,9,1
Pero Antic,Atlanta,1,1,3,4-13,3-4,27:42,6,3,+9,13,1,2-6,9,3
Kyle Korver,Atlanta,5,5,4-16,0-0,37:43,3,12,2,4-12,5,3
Jeff Teague,Atlanta,9,1,5-9,4-4,33:50,-8,15,1-4,1,2
Elton Brand,Atlanta,2,6,2-3,0-0,20:11,1,3,-12,4,1,0-0,7,1
Shelvin Mack,Atlanta,3,1,2,3-7,3-4,17:40,2,-12,10,1-2,2,2
Cartier Martin,Atlanta,1-4,0-0,12:53,1,-2,3,1,1-2,1
Mike Scott,Atlanta,1,3,2-5,0-0,11:28,2,-11,4,1,0-1,3,1
Dennis Schroder,Atlanta,1,1-3,0-0,6:54,2,0-1
